"","validationtext","y_val","predictions"
"1","living near his grannie again",1,0.992165625095367
"2","he was in a hospital near his grannie's town",1,0.9930379986763
"3","one effect of the peot getting injured is that it creates the tension of his grannie coming to see him in hospital",1,0.991961002349854
"4","it worries the grannie",0,0.00723308324813843
"5","it had brought him close to his grannie",1,0.963536024093628
"6","it had brought him close to that small town where grannie was living still",1,0.995981097221375
"7","he went back home",1,0.97743147611618
"8","that he was still very lame",1,0.980867207050323
"9","a soldier got wounded",0,0.00161078572273254
"10","broke then she came a soldier",0,0.0134497880935669
"11","he broke out",0,0.00358626246452332
"12","his grandmother went small",0,0.0639781653881073
"13","he was brought to where his grannie lived",1,0.999074995517731
"14","they couldn't walk",1,0.599995970726013
"15","curcumstance",0,0.00903335213661194
"16","his grannie came to see him again",1,0.980785489082336
"17","it says that back home in hospital",1,0.975477576255798
"18","he had got brought to a town where she was living still",1,0.989693701267242
"19","mum arguin",0,0.00853350758552551
"20","he went back to the town where his grannie still lived and asked her if she could visit",1,0.666506290435791
"21","he couldn't visit grannie she had to visit him",1,0.225096046924591
"22","his grannie being shoked",0,0.0426480174064636
"23","he said back home in hospital",1,0.98589038848877
"24","it had brought him closer to his gran",1,0.914661824703217
"25","lame in hositill",1,0.259403586387634
"26","it was a dark cold day",0,0.00432920455932617
"27","that his grannie was very small",0,0.0590296387672424
"28","it brought him close to that small town where she was living still",1,0.995307266712189
"29","wounded and lame",1,0.737082123756409
"30","that he remembered his grannie it had brought him close to that small town",1,0.154468238353729
"31","she got wanded",0,0.0089438259601593
"32","lame because of his wounds",1,0.929474711418152
"33","he was sent to the hopital in the town where his grandma lived",1,0.999719500541687
"34","to get back home",1,0.952306151390076
"35","it brought him close to this grannies small town where she lived",1,0.999240159988403
"36","sorry for him",0,0.00221902132034302
"37","it brang him back to his grannie",1,0.893348097801208
"38","he was wounded while in france",0,0.000933915376663208
"39","he was brought closer to where his grannie lived",1,0.99946391582489
"40","he was home",1,0.925361752510071
"41","he was in a hospital back home",1,0.982253193855286
"42","he asked her to vist him",0,0.111099898815155
"43","it brought him closer to the small time where she was living",1,0.996809840202332
"44","he was home in hospital",1,0.974815189838409
"45","i think because he was back home in hospital",1,0.988941192626953
"46","that she got shot in france",0,0.0200963914394379
"47","it had bought him close to the town that his grannie lived in",1,0.99479341506958
"48","that the hospital was near where his grannie lived",1,0.999479532241821
"49","broke out",0,0.00179266929626465
"50","seized",0,0.00211253762245178
"51","because the war broke out",0,0.00278964638710022
"52","he felf said becase he got ctusted from the war",0,0.0162436366081238
"53","he could go back home",1,0.987070560455322
"54","the hospital was close to his grandma's house",1,0.970852494239807
"55","that the boy was getting injured becuse he whent into the war",0,0.016875147819519
"56","sad  emotional",0,0.00624433159828186
"57","he couldn't see granny",0,0.106792539358139
"58","so she could see him and make him happy",1,0.0262187421321869
"59","that circumstance had brought him close to that small town where is grannie was still living",1,0.995424151420593
"60","he was near his grannie and her home",1,0.977076411247253
"61","it made granny sad",0,0.000434279441833496
"62","he was in hospital near where he used to live",1,0.993928670883179
"63","i broke out and became a soilder",0,0.0025966465473175
"64","seizing the chance to see grannie",1,0.208371937274933
"65","he asked his granni to visit",0,0.297432661056519
"66","became a soldier",0,0.00158798694610596
"67","was wounded",0,0.00325626134872437
"68","he got wounded by getting shot",0,0.0120285153388977
